row,column,cell_reference,value,context,source_file
,,C68,8200,"Unit price in N+1 is 8,200 EUR per the text data; entering '8200' corrects the empty cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D68,8600,"Unit price in N+2 is 8,600 EUR according to the forecast; inserting '8600' ensures price consistency.",ENGLISH_Finansinis planas en_revenue_forecast
,,E68,9000,"Unit price in N+3 should be 9,000 EUR per the provided data; filling '9000' completes the pricing row.",ENGLISH_Finansinis planas en_revenue_forecast
,,B69,429000,"Row 69 'Total sales revenue, EUR' during the project is specified as 429,000 EUR for this product; replacing '0' with '429000' aligns totals with the provided quantities/prices.",ENGLISH_Finansinis planas en_revenue_forecast
,,C69,779000,"N+1 total revenue of 779,000 EUR is given in the text data; updating '0' to '779000' corrects the N+1 total.",ENGLISH_Finansinis planas en_revenue_forecast
,,D69,1161000,"N+2 total revenue should be 1,161,000 EUR; changing '0' to '1161000' records the forecasted revenue accurately.",ENGLISH_Finansinis planas en_revenue_forecast
,,E69,1620000,"N+3 total revenue is 1,620,000 EUR per the data; updating '0' to '1620000' completes the revenue entries for this product.",ENGLISH_Finansinis planas en_revenue_forecast
,,A71,Supply Chain Analytics Platform,Row 71 product header is generic; the provided list maps rows 71-74 to the Supply Chain Analytics Platform (product 13). Updating the header to the actual product name clarifies the block purpose.,ENGLISH_Finansinis planas en_revenue_forecast
,,B72,40,"Row 72 'Sales quantity, pcs.' during the project is 40 units per the text data for the Supply Chain Analytics Platform; filling '40' replaces the empty cell with the forecasted number.",ENGLISH_Finansinis planas en_revenue_forecast
,,C72,70,N+1 sales quantity is 70 units according to the provided forecast; entering '70' completes the quantities row.,ENGLISH_Finansinis planas en_revenue_forecast
,,D72,100,N+2 sales quantity should be 100 units per text data; updating the blank to '100' aligns the data.,ENGLISH_Finansinis planas en_revenue_forecast
,,E72,140,N+3 sales quantity is 140 units in the forecast; filling '140' finalizes the projected quantities.,ENGLISH_Finansinis planas en_revenue_forecast
,,B73,9200,"Row 73 is 'Unit selling price, EUR' during the project. The provided price is 9,200 EUR; inserting '9200' corrects the empty cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,C73,9650,"Unit price in N+1 is 9,650 EUR per the text data; filling '9650' aligns pricing for N+1.",ENGLISH_Finansinis planas en_revenue_forecast
,,D73,10100,"Unit price in N+2 is 10,100 EUR according to the forecast; entering '10100' completes the price progression.",ENGLISH_Finansinis planas en_revenue_forecast
,,E73,10550,"Unit price in N+3 should be 10,550 EUR per the provided data; updating the blank to '10550' finalizes unit pricing.",ENGLISH_Finansinis planas en_revenue_forecast
,,B74,368000,"Row 74 'Total sales revenue, EUR' during the project is specified as 368,000 EUR for this product; replacing '0' with '368000' ensures totals reflect the forecast.",ENGLISH_Finansinis planas en_revenue_forecast
,,C74,675500,"N+1 total revenue of 675,500 EUR is given; updating '0' to '675500' aligns totals with quantities and prices.",ENGLISH_Finansinis planas en_revenue_forecast
,,D74,1010000,"N+2 total revenue should be 1,010,000 EUR per text data; replacing '0' with '1010000' corrects the entry.",ENGLISH_Finansinis planas en_revenue_forecast
,,E74,1477000,"N+3 total revenue is 1,477,000 EUR according to the forecast; updating '0' to '1477000' completes the revenue forecast for this product.",ENGLISH_Finansinis planas en_revenue_forecast
,,A76,Financial Analytics Dashboard,Row 76 product header currently generic; per the product list this block (rows 76-79) corresponds to the Financial Analytics Dashboard (product 14). Replacing the placeholder with the actual name provides correct identification.,ENGLISH_Finansinis planas en_revenue_forecast
,,B77,30,"Row 77 'Sales quantity, pcs.' during the project should be 30 units for the Financial Analytics Dashboard per text data; filling '30' replaces the blank.",ENGLISH_Finansinis planas en_revenue_forecast
,,C77,50,N+1 sales quantity is 50 units according to the forecast; entering '50' completes the quantities.,ENGLISH_Finansinis planas en_revenue_forecast
,,D77,70,N+2 sales quantity should be 70 units per text data; updating the empty cell to '70' aligns the forecast.,ENGLISH_Finansinis planas en_revenue_forecast
,,E77,95,N+3 sales quantity is 95 units in the provided data; filling '95' finalizes the multi-year sales quantities.,ENGLISH_Finansinis planas en_revenue_forecast
,,B78,18500,"Row 78 'Unit selling price, EUR' during the project is 18,500 EUR per the text data; inserting '18500' corrects the blank.",ENGLISH_Finansinis planas en_revenue_forecast
,,C78,19400,"Unit price in N+1 is 19,400 EUR according to the forecast; entering '19400' aligns pricing for N+1.",ENGLISH_Finansinis planas en_revenue_forecast
,,D78,20300,"Unit price in N+2 is 20,300 EUR per text data; updating the empty cell to '20300' completes the price progression.",ENGLISH_Finansinis planas en_revenue_forecast
,,E78,21200,"Unit price in N+3 should be 21,200 EUR per the provided forecast; filling '21200' finalizes unit pricing.",ENGLISH_Finansinis planas en_revenue_forecast
,,B79,555000,"Row 79 'Total sales revenue, EUR' during the project is specified as 555,000 EUR for this product; replacing '0' with '555000' ensures totals are accurate.",ENGLISH_Finansinis planas en_revenue_forecast
,,C79,970000,"N+1 total revenue of 970,000 EUR is provided; updating '0' to '970000' aligns totals with provided quantities/prices.",ENGLISH_Finansinis planas en_revenue_forecast
,,D79,1421000,"N+2 total revenue should be 1,421,000 EUR; changing '0' to '1421000' records the forecasted figure correctly.",ENGLISH_Finansinis planas en_revenue_forecast
,,E79,2014000,"N+3 total revenue is 2,014,000 EUR per the text data; updating '0' to '2014000' completes the revenue forecast for this product.",ENGLISH_Finansinis planas en_revenue_forecast
,,A81,Healthcare Analytics Solution,Row 81 product header is generic; the provided list maps this block (rows 81-84) to the Healthcare Analytics Solution (product 15). Replacing 'Product xxx' with the product name clarifies the section.,ENGLISH_Finansinis planas en_revenue_forecast
,,B82,8,"Row 82 'Sales quantity, pcs.' during the project should be 8 units for the Healthcare Analytics Solution per text data; updating the blank with '8' reflects the forecasted quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C82,18,N+1 sales quantity for this product is 18 units per the provided forecast; entering '18' completes the quantities row.,ENGLISH_Finansinis planas en_revenue_forecast
,,D82,28,N+2 sales quantity is 28 units according to the text data; replacing the empty cell with '28' aligns the data.,ENGLISH_Finansinis planas en_revenue_forecast
,,E82,40,N+3 sales quantity should be 40 units per the forecast; filling '40' finalizes the projected quantities.,ENGLISH_Finansinis planas en_revenue_forecast
,,B83,35000,"Row 83 'Unit selling price, EUR' during the project is 35,000 EUR per the text data; inserting '35000' corrects the blank and supports revenue calculations.",ENGLISH_Finansinis planas en_revenue_forecast
,,C83,37000,"Unit price in N+1 is 37,000 EUR according to the forecast; entering '37000' aligns the price progression.",ENGLISH_Finansinis planas en_revenue_forecast
,,D83,39000,"Unit price in N+2 is 39,000 EUR per text data; updating the empty cell to '39000' completes unit pricing.",ENGLISH_Finansinis planas en_revenue_forecast
,,E83,41000,"Unit price in N+3 should be 41,000 EUR per the provided forecast; filling '41000' finalizes the pricing row.",ENGLISH_Finansinis planas en_revenue_forecast
,,B84,280000,"Row 84 'Total sales revenue, EUR' during the project is specified as 280,000 EUR for Healthcare Analytics Solution; replacing '0' with '280000' ensures totals reflect the forecast.",ENGLISH_Finansinis planas en_revenue_forecast
,,C84,666000,"N+1 total revenue of 666,000 EUR is given; updating '0' to '666000' aligns totals with quantities and unit prices.",ENGLISH_Finansinis planas en_revenue_forecast
,,D84,1092000,"N+2 total revenue should be 1,092,000 EUR per the text data; replacing '0' with '1092000' records the projected revenue accurately.",ENGLISH_Finansinis planas en_revenue_forecast
,,E84,1640000,"N+3 total revenue is 1,640,000 EUR according to the forecast; updating '0' to '1640000' completes the multi-year revenue projection for this product.",ENGLISH_Finansinis planas en_revenue_forecast
